UID          PID    PPID  C STIME TTY          TIME CMD
root         966       2  0 09:18 ?        00:00:00 bpfilter_umh
root         971     943  0 09:18 ?        00:00:01 /opt/API-SIMULATOR/venv/bin/python api-simulator.py
root        1121     971  1 09:18 ?        00:06:02 /opt/API-SIMULATOR/venv/bin/python api-simulator.py
uuidd       1123       1  0 09:18 ?        00:00:02 /usr/sbin/uuidd --socket-activation
root        1207       1  0 09:18 ?        00:00:00 /usr/sbin/lightdm
root        1235    1207  5 09:18 tty7     00:20:10 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        1253    1207  0 09:18 ?        00:00:00 lightdm --session-child 13 16
devasc      1258       1  0 09:19 ?        00:00:00 /lib/systemd/systemd --user
devasc      1259    1258  0 09:19 ?        00:00:00 (sd-pam)
devasc      1275    1258  9 09:19 ?        00:34:01 /usr/bin/pulseaudio --daemonize=no --log-target=journal
devasc      1276    1253  0 09:19 ?        00:00:03 mate-session
devasc      1290    1258  0 09:19 ?        00:00:03 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit       1324       1  0 09:19 ?        00:00:00 /usr/libexec/rtkit-daemon
devasc      1410       1  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --clipboard
devasc      1411    1410  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --clipboard
devasc      1418       1  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --seamless
devasc      1419    1418  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --seamless
devasc      1423       1  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
devasc      1425    1423  0 09:19 ?        00:00:43 /usr/bin/VBoxClient --draganddrop
devasc      1428       1  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-x11
devasc      1429    1428  0 09:19 ?        00:00:00 /usr/bin/VBoxClient --vmsvga-x11
devasc      1436    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1438    1276  0 09:19 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch mate-session
devasc      1441    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1449    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1492    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1538    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1543    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1571    1429  0 09:19 ?        00:00:00 [sh] <defunct>
devasc      1645    1258  0 09:19 ?        00:00:00 /usr/libexec/gvfsd
devasc      1650    1258  0 09:19 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/900/gvfs -f -o big_writes
devasc      1658    1258  0 09:19 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
devasc      1663    1658  0 09:19 ?        00:00:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
devasc      1684    1258  0 09:19 ?        00:00:00 /usr/libexec/dconf-service
devasc      1688       1  0 09:19 ?        00:00:00 gnome-keyring-daemon --start
devasc      1692    1276  0 09:19 ?        00:00:20 /usr/bin/mate-settings-daemon
devasc      1694    1258  0 09:19 ?        00:00:05 /usr/libexec/at-spi2-registryd --use-gnome-session
devasc      1701    1276  0 09:19 ?        00:01:33 marco
devasc      1717    1276  0 09:19 ?        00:00:15 mate-panel
devasc      1722    1276  0 09:19 ?        00:03:29 /usr/bin/caja
devasc      1734    1258  1 09:19 ?        00:05:18 /usr/lib/mate-applets/mate-multiload-applet
devasc      1735    1258  0 09:19 ?        00:01:08 /usr/lib/mate-panel/wnck-applet
devasc      1736    1258  0 09:19 ?        00:00:54 mate-menu
devasc      1748    1276  0 09:19 ?        00:00:03 mate-power-manager
devasc      1750    1276  0 09:19 ?        00:00:01 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
devasc      1754    1276  0 09:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
devasc      1755    1276  0 09:19 ?        00:00:01 /usr/lib/x86_64-linux-gnu/polkit-mate/polkit-mate-authentication-agent-1
devasc      1764    1276  0 09:19 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
devasc      1801    1276  0 09:19 ?        00:00:05 mate-maximus
devasc      1804    1258  0 09:19 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
